date,matcha_WORLD,dubai_chocolate_WORLD,baked_feta_cheese_pasta_WORLD,air_fryer_WORLD,matcha_AE,dubai_chocolate_AE,air_fryer_AE,matcha_GB,dubai_chocolate_GB,baked_feta_cheese_pasta_GB,air_fryer_GB,matcha_IN,dubai_chocolate_IN,baked_feta_cheese_pasta_IN,air_fryer_IN,matcha_US,dubai_chocolate_US,baked_feta_cheese_pasta_US,air_fryer_US,matcha_KR,dubai_chocolate_KR,air_fryer_KR
2015-01-01,6,1,0,2,3,13,6,5,0,0,1,6,7,0,11,6,0,0,0,7,0,0
2015-02-01,7,1,0,2,2,15,5,5,0,0,0,5,6,0,9,6,0,0,0,0,0,0
2015-03-01,8,1,0,2,3,14,3,5,0,0,0,5,6,0,9,9,0,0,0,9,0,0
2015-04-01,10,1,0,1,4,15,4,6,0,0,0,6,8,0,9,13,0,0,0,13,0,0
2015-05-01,9,1,0,2,4,14,7,6,0,0,0,6,7,0,10,11,0,0,0,0,0,0
2015-06-01,10,1,0,2,3,15,10,6,0,0,0,5,5,0,9,9,0,0,0,7,0,0
2015-07-01,8,1,0,1,3,12,6,5,0,0,0,3,5,0,6,9,0,0,0,9,0,0
2015-08-01,8,0,0,2,4,12,5,5,0,0,0,5,5,0,7,8,0,0,1,6,0,0
2015-09-01,8,1,0,2,3,11,6,5,0,0,0,5,8,0,7,8,0,0,1,0,0,0
2015-10-01,8,1,0,2,3,14,7,5,0,0,0,5,6,0,24,7,0,0,1,9,0,0
2015-11-01,8,1,0,3,4,13,11,5,0,0,1,6,8,0,25,7,0,0,1,9,0,0
2015-12-01,8,1,0,3,4,15,6,5,0,0,1,5,8,0,11,7,0,0,1,0,0,5
2016-01-01,10,1,0,2,6,13,7,11,0,0,1,8,7,0,9,11,0,0,1,7,0,0
2016-02-01,10,1,0,2,6,13,5,9,0,0,1,6,8,0,8,11,0,0,1,6,0,0
2016-03-01,10,1,0,2,6,13,6,8,0,0,1,7,7,0,6,12,0,0,1,9,0,0
2016-04-01,11,1,0,2,5,12,6,11,0,0,1,6,7,0,6,13,0,0,1,13,0,0
2016-05-01,10,1,0,2,5,14,6,9,0,0,1,7,6,0,5,11,0,0,1,9,0,0
2016-06-01,10,1,0,2,6,13,12,9,0,0,1,7,5,0,5,11,0,0,1,7,0,4
2016-07-01,11,1,0,2,6,14,3,14,0,0,1,7,8,0,6,12,0,0,1,12,0,0
2016-08-01,11,1,0,3,7,13,5,10,0,0,1,7,7,0,6,11,0,0,2,10,0,0
2016-09-01,10,1,0,3,6,13,4,9,0,0,1,6,8,0,6,10,0,0,2,11,0,0
2016-10-01,10,1,0,3,7,15,5,9,0,0,1,8,6,0,12,10,0,0,2,13,0,0
2016-11-01,10,1,0,5,6,15,4,8,0,0,1,9,7,0,6,9,0,0,4,13,0,0
2016-12-01,9,1,0,6,8,18,5,7,0,0,1,7,6,0,5,10,0,0,6,11,0,0
2017-01-01,13,1,0,7,8,14,6,11,0,0,2,8,7,0,5,15,0,0,7,10,0,0
2017-02-01,12,1,0,5,8,16,5,11,0,0,1,7,9,0,5,14,0,0,5,17,0,5
2017-03-01,14,1,0,5,7,15,5,10,0,0,1,9,7,0,4,16,0,0,5,14,0,4
2017-04-01,13,1,0,4,9,17,5,10,0,0,1,8,6,0,4,16,0,0,4,10,0,0
2017-05-01,14,1,0,4,7,15,12,11,0,0,1,10,6,0,4,16,0,0,4,11,0,0
2017-06-01,14,1,0,4,8,13,8,9,0,0,1,11,6,0,4,19,0,0,4,16,0,0
2017-07-01,12,1,0,5,10,15,5,8,0,0,1,9,8,0,5,14,0,0,5,11,0,0
2017-08-01,12,1,0,5,10,14,7,9,0,0,1,8,7,0,4,14,0,0,6,11,0,4
2017-09-01,13,1,0,5,10,15,7,10,0,0,1,10,8,0,7,13,0,0,5,15,0,0
2017-10-01,13,1,0,6,11,15,6,9,0,0,1,10,9,0,11,14,0,0,6,13,0,6
2017-11-01,13,1,0,13,8,17,7,8,0,0,2,9,10,0,6,13,0,0,15,12,0,8
2017-12-01,12,1,0,16,8,15,9,7,0,0,2,10,7,0,6,13,0,0,20,10,0,6
2018-01-01,15,1,0,15,8,17,7,12,0,0,3,10,7,0,6,18,0,0,18,14,0,10
2018-02-01,15,1,0,12,10,18,9,11,0,0,2,10,11,0,5,17,0,0,14,16,0,0
2018-03-01,16,1,0,10,10,17,9,12,0,0,2,13,6,0,4,20,0,0,12,19,0,6
2018-04-01,16,1,0,10,10,15,10,12,0,0,2,11,7,0,4,20,0,0,11,15,0,10
2018-05-01,15,1,0,9,9,15,17,10,0,0,2,9,6,0,4,20,0,0,10,16,0,9
2018-06-01,14,1,0,8,9,14,12,9,0,0,2,8,6,0,4,18,0,0,9,13,0,9
2018-07-01,14,1,0,10,9,17,10,8,0,0,2,9,7,0,4,18,0,0,11,10,0,11
2018-08-01,13,1,0,10,7,15,10,9,0,0,2,10,6,0,4,17,0,0,11,16,0,10
2018-09-01,14,1,0,10,10,15,10,9,0,0,2,11,7,0,5,16,0,0,11,15,0,14
2018-10-01,13,1,0,11,9,15,12,9,0,0,2,10,8,0,8,16,0,0,12,16,0,14
2018-11-01,13,1,0,20,9,17,11,11,0,0,3,12,7,0,7,13,0,0,23,15,0,18
2018-12-01,13,1,0,25,8,18,13,8,0,0,3,10,9,0,6,16,0,0,33,17,0,19
2019-01-01,16,1,0,27,10,16,13,12,0,0,4,11,9,0,5,20,0,0,35,15,0,20
2019-02-01,17,1,0,20,10,17,12,11,0,0,2,9,9,0,5,18,0,0,25,13,0,22
2019-03-01,18,1,0,18,11,15,14,12,0,0,2,10,8,0,5,24,0,0,23,18,0,18
2019-04-01,18,1,0,15,12,13,14,10,0,0,2,10,6,0,4,24,0,0,18,19,0,19
2019-05-01,16,1,0,15,11,14,22,12,0,0,2,11,5,0,5,19,0,0,18,20,0,16
2019-06-01,16,1,3,16,12,13,17,11,0,0,2,12,5,0,4,19,0,0,18,16,0,11
2019-07-01,16,1,0,16,12,13,15,10,0,0,2,11,7,0,5,19,0,0,21,19,0,13
2019-08-01,15,1,0,16,13,13,14,10,0,0,2,12,7,0,5,18,0,0,18,15,0,13
2019-09-01,15,1,0,17,12,14,17,10,0,0,2,11,7,0,5,18,0,0,20,21,0,14
2019-10-01,15,1,0,17,12,15,15,10,0,0,3,10,9,0,12,16,0,0,20,15,0,13
2019-11-01,14,1,0,28,10,16,19,10,0,0,4,10,8,0,8,16,0,0,33,17,0,20
2019-12-01,14,1,0,37,11,17,20,9,0,0,5,11,9,0,7,16,0,0,48,19,0,26
2020-01-01,17,1,0,42,10,14,22,11,0,0,6,11,9,0,7,21,0,0,51,19,0,20
2020-02-01,18,1,0,30,12,15,21,12,0,0,4,11,11,0,6,23,0,0,38,17,0,24
